"Renewable energy total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"15,540","14,720","15,416","15,334","15,585","14,607","15,750","15,648","16,739","17,690","16,544","17,008","17,285","19,416","18,395","17,107","20,502","21,410","23,145","25,139","25,219","26,492","24,959","28,591","26,181","25,853","29,882","27,618","28,788","31,154","33,675","29,759","32,553","32,719","30,267","30,028","34,337","31,253","29,751","29,290","28,931","23,331","21,184","20,914","26,237","30,635","26,072","30,245","33,042","38,836","41,340","41,474","41,332","47,861","50,712","57,464","53,361","55,717","51,985","51,278","38,691","38,801","39,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,187","20,614","21,038","23,285","23,810","23,912","24,491","25,111","27,067","28,018","28,760","28,804","31,067","32,611","35,079","32,854","36,800","39,684","42,867","45,068","50,354","56,051","50,775","61,926","50,546","51,400","43,547","40,758","43,367","36,567","25,896","35,811","38,434","36,935","41,646","44,140","41,931","40,109","39,413","40,356","40,916","29,874","28,604","26,423","27,208","28,894","47,140","52,226","49,654","64,830","71,776","70,167","69,207","76,177","79,251","69,235","72,286","68,640","67,409","66,311","59,659","63,114","64,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"6,864","6,560","6,336","6,161","6,233","5,773","5,735","5,432","5,406","5,232","5,082","4,772","4,605","4,443","4,403","5,559","6,251","7,131","7,780","9,451","5,566","7,112","7,482","8,570","9,267","9,621","9,956","7,442","7,900","8,287","7,282","7,678","7,541","6,812","6,686","7,966","7,129","8,002","8,439","8,572","9,109","6,268","6,398","6,370","7,406","17,270","18,925","21,251","24,091","21,700","26,796","27,820","27,872","29,494","29,756","31,417","37,525","42,108","50,530","56,832","53,016","65,917","82,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"7,657","6,893","7,640","7,049","6,445","6,317","7,021","6,823","6,917","6,803","6,667","6,794","6,385","6,711","6,512","7,009","6,636","7,025","7,403","7,890","10,855","9,627","8,714","18,097","23,608","19,426","19,991","11,298","9,944","12,453","12,619","15,903","15,561","17,150","15,814","17,257","17,338","19,826","22,416","22,270","21,320","20,294","19,522","18,199","18,752","18,638","19,830","20,651","23,153","26,987","28,045","28,572","30,416","34,753","36,352","40,767","47,415","51,426","55,402","59,315","58,350","64,218","73,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"100,502","119,407","128,633","123,205","119,068","124,906","134,028","137,102","145,503","152,345","148,081","146,920","154,346","159,810","160,434","156,809","167,710","161,823","173,677","184,538","219,986","231,595","217,430","248,273","221,079","224,266","220,133","205,392","198,816","204,793","193,907","188,187","200,666","218,505","218,065","214,169","240,615","284,752","261,254","251,643","261,307","191,259","194,476","196,144","224,189","203,675","219,256","223,449","248,382","219,834","227,403","243,937","229,778","241,635","251,855","267,163","268,705","283,919","287,805","292,472","262,830","268,061","270,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"36,822","36,264","36,861","38,113","37,942","38,645","41,464","39,598","43,406","44,407","44,097","43,457","44,878","46,549","48,339","46,247","52,786","58,541","69,599","74,626","107,332","112,984","114,273","131,158","127,271","130,101","118,602","123,816","130,203","111,192","78,689","84,217","82,355","64,688","92,928","86,216","83,243","83,483","83,194","90,671","94,967","64,850","51,832","60,214","61,983","70,260","73,079","81,539","113,691","111,222","126,291","134,243","134,404","149,023","152,610","146,779","148,002","144,058","145,834","145,043","131,072","138,807","144,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"12,589","12,937","11,435","9,292","9,214","10,422","9,477","9,509","12,744","13,673","11,775","11,551","16,641","24,516","23,592","22,046","18,576","20,457","25,164","30,683","15,685","15,983","22,720","22,080","23,450","29,166","24,626","25,339","22,982","33,554","30,827","27,715","30,828","37,904","32,764","34,109","36,724","35,316","36,785","33,680","31,931","32,198","27,533","29,563","38,712","42,340","39,644","50,786","48,202","52,897","66,382","69,912","78,764","96,281","96,417","104,506","128,552","142,171","156,755","166,037","163,061","173,942","188,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"98,889","98,494","102,510","102,818","110,005","114,175","115,562","117,729","128,897","153,969","159,510","176,493","181,788","154,643","179,758","175,662","188,065","156,515","186,895","179,986","190,297","202,366","242,666","253,801","262,776","242,736","245,960","228,630","230,898","214,865","199,135","196,028","156,161","169,830","152,449","185,887","206,337","212,960","184,703","199,304","178,605","152,624","168,348","160,519","164,444","159,529","185,689","176,655","184,457","191,183","187,672","229,596","227,925","221,913","232,220","226,237","238,210","255,735","253,230","237,262","242,400","232,754","247,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"52,683","50,343","50,913","51,746","51,558","51,907","53,572","54,815","54,621","55,361","57,850","55,071","59,430","61,297","62,288","62,841","71,329","75,860","85,255","98,356","131,704","143,018","136,726","158,825","141,849","141,404","106,997","100,095","103,307","87,972","71,799","76,757","89,723","89,126","95,054","105,281","114,722","104,346","95,530","96,960","99,079","85,729","81,861","87,398","95,159","93,044","98,779","104,390","126,094","141,945","163,922","182,675","175,668","197,364","192,757","198,268","194,704","199,016","204,632","194,234","173,403","176,687","184,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"2,888","2,953","3,100","3,195","3,505","3,549","3,757","4,113","4,233","4,402","5,245","4,842","4,893","5,076","4,991","4,026","4,682","5,270","6,550","7,101","7,279","6,648","6,029","7,379","4,933","5,081","4,653","3,302","3,528","3,771","4,429","4,515","4,770","5,116","5,001","5,015","5,490","4,295","4,137","4,360","4,486","3,876","3,710","3,785","4,497","1,875","5,370","6,349","6,254","7,370","7,118","6,795","5,900","5,983","7,689","8,229","7,843","8,290","8,414","9,395","9,835","9,682","10,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
